,href,Date,City,State,Country,Shape,Summary,Reported,Media,Explanation
79,https://nuforc.org//sighting/?id=179996,01/08/2024 01:00,Guelph,ON,Canada,Triangle,Possible TR3B black manta sighting.,,,
80,https://nuforc.org//sighting/?id=179998,01/07/2024 20:40,Roseburg,OR,USA,Light,2 lights looked to be spinning.,,,
81,https://nuforc.org//sighting/?id=179790,01/05/2024 21:10,Sault Ste. Marie,ON,Canada,Light,Erratically moving lights that would appear and disappear staying in the same approximate location in relation to the stars,,Y,
82,https://nuforc.org//sighting/?id=179814,01/02/2024 22:40,Oklahoma City,OK,USA,Oval,Seen the blue white oval object dart right to left from upstairs windows. When I fist witnessed It was stationary.,,,
83,https://nuforc.org//sighting/?id=179815,01/02/2024 18:45,Newtown,CT,USA,Light,"Elongated white light moving slowly or not at all, which then also displayed a series of colored lights in a line as I got closer.",,Y,
84,https://nuforc.org//sighting/?id=179900,12/26/2023 20:40,Bunnell,FL,USA,Changing,What appeared as bright star like points of light which would suddenly appear increasing in brightness and then fade away.,,Y,
85,https://nuforc.org//sighting/?id=181836,12/24/2023 20:30,Long Branch,NJ,USA,Rectangle,"Saw two rectangle craft at least four times during walk. Also saw stationary, green, pulsing light in the bottom of the clouds.",,,
86,https://nuforc.org//sighting/?id=179797,12/23/2023 03:30,,,International Waters,Light,"Objects at very high altitude (greater than 50,000' MSL) maneuvering and emitting white light that gradually varied from bright to dim",,,
87,https://nuforc.org//sighting/?id=179942,12/20/2023 03:00,Horace,KS,USA,Unknown,4 white lights of changing intensity resembling stars moving in a portion of the night sky.,,Y,
88,https://nuforc.org//sighting/?id=180056,12/16/2023 22:45,Little Rock,AR,USA,Light,5 Lights Moving Rapidly and Changing Direction,,,
89,https://nuforc.org//sighting/?id=179915,12/16/2023 20:50,Ferndale,MI,USA,Sphere,A simple sighting which lasted one second.,,,
90,https://nuforc.org//sighting/?id=179717,12/14/2023 19:45,Pawleys Island,SC,USA,Triangle,4-5 orange solid lights arranged in a triangle shape,,,
91,https://nuforc.org//sighting/?id=179707,12/13/2023 23:00,Greensboro,NC,USA,Orb,"AM sighting of a bright intense light that was hovering over tree line and a PM sighting with 2 crafts of the same ""look"".",,Y,
92,https://nuforc.org//sighting/?id=180834,12/13/2023 21:20,Warrington,PA,USA,Circle,Saw an object moving silently N then NE in the sky while sitting in my hot tub,,Y,
93,https://nuforc.org//sighting/?id=179675,12/08/2023 21:00,Lowell,MI,USA,Disk,Greyish disc with two bright white lights one on each side on front circumference and multi colored red green lights,,Y,
94,https://nuforc.org//sighting/?id=182077,12/08/2023 20:27,Melbourne,FL,USA,Orb,"I saw 3 balls of lights, 1 traveling from the West and 2 already on my porch roof.",,Y,
95,https://nuforc.org//sighting/?id=179582,12/04/2023 01:00,Lorain,OH,USA,Sphere,"A Semi Transparent, White Colored, Luminescent Spherical Cloud circled directly above my home before disappearing entirely.",,,
96,https://nuforc.org//sighting/?id=179607,12/03/2023 23:59,Memphis,IN,USA,Light,Unexplained bright shiny light,,Y,
97,https://nuforc.org//sighting/?id=179587,11/30/2023 20:25,Denton,NE,USA,Unknown,I observed an aircraft with two bright lights to be stagnant and hovering over my pasture approximately 100' in the air.,,,
98,https://nuforc.org//sighting/?id=179535,11/30/2023 03:10,Franksville,WI,USA,Orb,4 Objects Moving and Dimming On and Off,,,
99,https://nuforc.org//sighting/?id=179708,11/28/2023 19:14,Ridge,MD,USA,Other,Object hovered approx 1/2 mile above Potomac River,,Y,
100,,,,,,,,,,
101,https://nuforc.org//sighting/?id=180078,11/28/2023 00:30,,Yucatan,Mexico,Diamond,Went to room to sit on balcony and spotted bright light moving very fast,,Y,
