href,Date,City,State,Country,Shape,Summary,Reported,Media,Explanation
https://nuforc.org//sighting/?id=125792 ,02/10/2016 05:15,Lebanon,OR,USA,Orb,Large circular craft flew silently over man walking his dog.,,Y,
https://nuforc.org//sighting/?id=126817 ,04/11/2015 23:55,Hayward,CA,USA,Disk,"Large, Green UFO saucer sighted flying over San Francisco Bay.  Size:  100 Yards across!  Very clear details.",,Y,
https://nuforc.org//sighting/?id=127376 ,05/12/2016 23:20,Shanghai (China),,China,Triangle,"Triangular (V-shaped) flying object spotted in Shanghai, China near Hongqio airport (2016/05/12 @ 23:20)",,Y,
https://nuforc.org//sighting/?id=127386 ,09/18/2015 22:20,Jemez Springs,NM,USA,Diamond,Diamond shape objects flying low altitude in Jemez Springs.,,Y,
https://nuforc.org//sighting/?id=127734 ,06/06/2016 10:30,Cedarcreek,MO,USA,Cigar,"Spindle-shaped object with no wings, no sound, no vapor trail seen in clear sky in daylight.",,Y,
https://nuforc.org//sighting/?id=129302 ,08/16/2016 04:10,Edison,NJ,USA,Triangle,Lighted  Triangular Crafts sighted within minutes of each other HIGH OVERHEAD.,,Y,
https://nuforc.org//sighting/?id=129626 ,08/13/2016 21:00,Teston (UK/England),,United Kingdom,Triangle,Triangular object with white & blue lights.,,Y,
https://nuforc.org//sighting/?id=130601 ,10/11/2016 13:35,Ocean Shores,WA,USA,Circle,Saw a large white ball with tail made it look like Star Ship Enterprise clear sky.,,Y,
https://nuforc.org//sighting/?id=131630 ,12/04/2016 22:40,Huntington Beach,CA,USA,Chevron,Fast-moving craft with gray lights over suburban Huntington Beach.,,Y,
https://nuforc.org//sighting/?id=131701 ,12/10/2016 18:30,Lahaina,HI,USA,Rectangle,"White/blue bright object travelling west @ 6:30 pm over Pacific Ocean in Lahaina, HI.",,Y,
https://nuforc.org//sighting/?id=131791 ,12/15/2016 20:00,Davie,FL,USA,Egg,Ultra-Bright White Blimp like Object.  ((anonymous report)),,Y,
https://nuforc.org//sighting/?id=132106 ,06/15/1997 18:00,Borrego Springs,CA,USA,Orb,"Superstition Hill UFO sighting summer 1997  I went camping off of Old Kane Springs Road, Borrego Springs, California just south of High",,Y,
https://nuforc.org//sighting/?id=132359 ,01/28/2017 20:50,Sahuarita,AZ,USA,Formation,"Formation of steady, orange lights east of Sahuarita AZ traveling SSW.  Visible for appx. 6 minutes.",,Y,
https://nuforc.org//sighting/?id=132704 ,06/20/2015 13:30,Tulsa,OK,USA,Sphere,"It was approximately noon in southern Tulsa, and my sister, mother and I were headed back from lunch. We saw a strange coppery, round o",,Y,
https://nuforc.org//sighting/?id=133724 ,04/19/2017 23:55,Newton,AL,USA,Triangle,Silent triangle UFO.,,Y,
https://nuforc.org//sighting/?id=133835 ,04/25/2017 23:45,Ponca City,OK,USA,Circle,"Flying on American airline flight 299 to Tulsa, saw 2 craft.  One a half circle with two lights bordering the entire outer edge.",,Y,
https://nuforc.org//sighting/?id=135305 ,07/22/2017 22:15,Montreal (Canada),QC,Canada,Triangle,"Green illuminated ""V"" shape seen above Montreal, Quebec, Canada. ((NUFORC Note:  Witness is skilled & highly educated scientist.  PD))",,Y,
https://nuforc.org//sighting/?id=136100 ,09/09/2017 22:30,Monroe,OH,USA,Light,"Formation of red lights over Monroe, Ohio.",,Y,
https://nuforc.org//sighting/?id=136234 ,09/18/2017 22:55,Superior,CO,USA,Chevron,"Large, fast chevron flies directly overhead.",,Y,
https://nuforc.org//sighting/?id=136360 ,09/24/2017 20:45,Mount Holly,NC,USA,Light,"A formation of bright yellow-orange lights, motionless, and electrical effects.",,Y,
https://nuforc.org//sighting/?id=137810 ,12/14/2017 19:00,Santa Fe,NM,USA,Triangle,"Triangular object with bright green lights near Santa Fe, NM.",,Y,
https://nuforc.org//sighting/?id=139102 ,10/01/1991 14:00,Algiers (Algeria),,Algeria,Disk,Silver-colored aircraft over Algeria.,,Y,
